TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,ProductName,Category,UnitPrice,Name,Region,JoinDate
1,2025-05-04,1034,2059,402,0.0,2048.2,Electronics-Clear,Home,512.05,Heather Smith,Central,2022-09-16
2,2025-05-04,1066,2048,403,1.0,321.87,Electronics-Candidate,Home,357.63,Derrick Myers,North,2022-04-06
3,2025-05-04,1116,2041,403,3.0,3216.84,Home-Assume,Office,804.21,Melissa Rivera,Central,2021-10-25
4,2025-05-04,1071,2096,404,2.0,1613.23,Office-Discuss,Home,672.18,Christopher Frost,east,2020-08-21
5,2025-05-04,1020,2060,401,0.0,408.38,Office-Term,Home,408.38,Michelle Brewer,East,2021-07-14
6,2025-05-04,1089,2028,401,0.0,1275.88,Electronics-Take,Electronics,637.94,Matthew Hernandez,North,2023-04-12
7,2025-05-04,1193,2003,402,1.0,346.66,Electronics-Training,Clothing,385.18,Nancy King,South,2022-05-23
8,2025-05-04,1005,2079,402,1.0,855.49,Office-Who,Home,950.54,Jessica Mora,South,2021-08-05
8,2025-05-04,1005,2079,402,1.0,855.49,Office-Who,Home,950.54,Jessica Mora,South,2021-08-05
9,2025-05-04,1032,2060,401,1.0,735.08,Office-Term,Home,408.38,Terri Long,east,2022-10-23
10,2025-05-04,1119,2089,403,2.0,661.63,Electronics-Action,Office,413.52,Cameron Hernandez,east,2022-08-08
11,2025-05-04,1042,2077,401,,505.65,Office-Ball,Electronics,561.83,Christopher Dodson,North,2023-10-30
12,2025-05-04,1079,2013,401,2.0,0.0,Office-Cultural,Home,935.36,Zachary Thompson MD,EAST,2022-09-05
13,2025-05-04,1147,2086,404,3.0,4470.5,Home-Of,Home,894.1,William Palmer,south-west,2023-08-14
14,2025-05-04,1183,2025,401,1.0,503.32,Electronics-Assume,Clothing,279.62,Kenneth Graves,East,2020-05-08
15,2025-05-04,1026,2089,403,0.0,413.52,Electronics-Action,Office,413.52,Gary Walls,North,2023-10-05
16,2025-05-04,1144,2005,403,3.0,1715.12,Office-Huge,Home,428.78,Brian Browning,EAST,2023-05-03
17,2025-05-04,1169,2047,401,2.0,535.97,Clothing-Hair,Office,334.98,Michael Edwards,south-west,2023-09-26
18,2025-05-04,1003,2053,404,0.0,3660.9,Home-Ground,Office,610.15,David Brennan,North,2020-05-21
19,2025-05-04,1110,2046,404,1.0,30.09,Clothing-Worry,Clothing,33.43,Melissa Grimes,South,2024-03-14
